#Combined spectrum created by combine_nIR_spectra.pro, knotE_N3.specfrom list
#Wavelengths were already in vacuum heliocentric
#Units are erg/s/cmsq/A, determined by xtellcor_general
wave  flam  noise
12504.6000  1.138e-17  4.951e-18
12507.1000  4.669e-19  4.649e-18
12509.6000  -4.549e-18  3.969e-18
12512.1000  8.790e-18  3.701e-18
12514.6000  -2.900e-18  3.315e-18
12517.1000  3.736e-18  2.980e-18
12519.6000  -4.852e-18  3.224e-18
12522.1000  -3.762e-18  3.854e-18
12524.6000  -6.714e-18  4.233e-18
12527.1000  -4.639e-18  4.172e-18
12529.6000  2.048e-18  3.767e-18
12532.1000  3.037e-18  3.164e-18
12534.6000  5.220e-18  3.321e-18
12537.2000  9.816e-19  3.927e-18
12539.7000  1.593e-17  4.560e-18
12542.2000  2.522e-17  4.503e-18
12544.7000  5.974e-18  4.236e-18
12547.2000  1.206e-17  3.537e-18
12549.7000  3.677e-18  3.164e-18
12552.2000  5.056e-18  3.746e-18
12554.7000  6.334e-18  4.455e-18
12557.2000  -7.905e-19  4.764e-18
12559.8000  -4.100e-18  4.347e-18
12562.3000  8.478e-18  3.900e-18
12564.8000  -6.288e-18  3.430e-18
12567.3000  2.966e-18  3.900e-18
12569.8000  -1.767e-18  4.795e-18
12572.3000  2.183e-18  5.200e-18
12574.8000  1.280e-17  5.135e-18
12577.4000  1.067e-17  4.431e-18
12579.9000  6.842e-18  3.884e-18
12582.4000  -5.563e-18  4.058e-18
12584.9000  -1.652e-18  5.082e-18
12587.4000  -4.479e-19  6.164e-18
12590.0000  -2.627e-18  6.431e-18
12592.5000  6.718e-18  6.541e-18
12595.0000  2.703e-18  6.386e-18
12597.5000  4.296e-18  6.303e-18
12600.0000  1.915e-17  7.053e-18
12602.6000  6.229e-18  7.644e-18
12605.1000  1.246e-17  8.596e-18
12607.6000  1.553e-18  9.109e-18
12610.1000  -5.539e-18  9.454e-18
12612.6000  7.508e-18  9.340e-18
12615.2000  -1.183e-18  8.629e-18
12617.7000  2.326e-17  8.889e-18
12620.2000  5.830e-18  8.806e-18
12622.7000  -1.961e-17  8.771e-18
12625.3000  8.987e-18  8.015e-18
12627.8000  6.972e-18  7.622e-18
12630.3000  2.809e-17  7.139e-18
12632.9000  3.580e-18  6.222e-18
12635.4000  1.442e-17  6.426e-18
12637.9000  -4.395e-18  6.890e-18
12640.4000  1.287e-17  7.440e-18
12643.0000  1.711e-17  7.002e-18
12645.5000  1.169e-17  6.696e-18
12648.0000  -4.418e-18  6.072e-18
12650.6000  8.284e-18  5.406e-18
12653.1000  2.129e-18  6.166e-18
12655.6000  2.325e-17  7.101e-18
12658.2000  -3.957e-18  7.937e-18
12660.7000  -6.156e-18  8.640e-18
12663.2000  1.056e-17  8.777e-18
12665.8000  6.144e-18  8.234e-18
12668.3000  -5.667e-18  8.523e-18
12670.8000  1.456e-17  9.185e-18
12673.4000  -8.329e-18  9.343e-18
12675.9000  4.174e-18  1.137e-17
12678.4000  2.414e-17  1.531e-17
12681.0000  2.102e-17  2.115e-17
12683.5000  4.433e-17  2.909e-17
12686.1000  3.396e-17  3.139e-17
12688.6000  5.799e-17  3.144e-17
12691.1000  7.597e-17  2.826e-17
12693.7000  6.306e-17  2.442e-17
12696.2000  4.012e-17  2.272e-17
12698.8000  3.341e-17  1.901e-17
12701.3000  2.890e-17  1.677e-17
12703.8000  1.923e-17  1.496e-17
12706.4000  -1.819e-17  1.238e-17
12708.9000  3.575e-17  1.161e-17
12711.5000  7.988e-18  1.038e-17
12714.0000  3.986e-18  1.008e-17
12716.6000  1.021e-17  9.312e-18
12719.1000  1.725e-17  1.010e-17
12721.6000  -7.407e-18  1.178e-17
12724.2000  2.009e-17  1.163e-17
12726.7000  9.434e-18  1.139e-17
12729.3000  2.345e-18  9.966e-18
12731.8000  -2.599e-18  9.034e-18
12734.4000  -7.419e-19  8.378e-18
12736.9000  2.974e-18  9.756e-18
12739.5000  -5.935e-18  1.096e-17
12742.0000  2.061e-17  1.312e-17
12744.6000  -8.207e-19  1.334e-17
12747.1000  9.473e-18  1.415e-17
12749.7000  4.310e-19  1.281e-17
12752.2000  1.196e-17  1.214e-17
12754.8000  3.569e-18  1.177e-17
12757.3000  1.863e-17  1.384e-17
12759.9000  2.755e-17  1.505e-17
12762.4000  2.333e-17  1.677e-17
12765.0000  1.881e-17  1.575e-17
12767.6000  -5.213e-19  1.387e-17
